2026-03-11 16:50:47,493 | INFO | apscheduler.executors.default | Running job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 16:51:47 MSK)" (scheduled at 2026-03-11 16:50:47.483850+03:00)
2026-03-11 16:50:47,493 | INFO | apscheduler.executors.default | Job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 16:51:47 MSK)" executed successfully
2026-03-11 16:50:54,314 | INFO | aiogram.event | Update id=732797826 is handled. Duration 109 ms by bot id=7666806729
2026-03-11 16:50:59,874 | INFO | aiogram.event | Update id=732797827 is handled. Duration 233 ms by bot id=7666806729
2026-03-11 16:51:01,587 | INFO | aiogram.event | Update id=732797828 is handled. Duration 313 ms by bot id=7666806729
2026-03-11 16:51:05,084 | INFO | aiogram.event | Update id=732797829 is handled. Duration 703 ms by bot id=7666806729
2026-03-11 16:51:34,597 | INFO | aiogram.event | Update id=732797830 is handled. Duration 235 ms by bot id=7666806729
2026-03-11 16:51:36,788 | INFO | aiogram.event | Update id=732797831 is handled. Duration 250 ms by bot id=7666806729
2026-03-11 16:51:40,387 | INFO | aiogram.event | Update id=732797832 is handled. Duration 327 ms by bot id=7666806729
2026-03-11 16:51:47,499 | INFO | apscheduler.executors.default | Running job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 16:52:47 MSK)" (scheduled at 2026-03-11 16:51:47.483850+03:00)
2026-03-11 16:51:47,500 | INFO | apscheduler.executors.default | Job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 16:52:47 MSK)" executed successfully
2026-03-11 16:52:23,316 | INFO | aiogram.event | Update id=732797833 is handled. Duration 234 ms by bot id=7666806729
2026-03-11 16:52:27,713 | INFO | aiogram.event | Update id=732797834 is handled. Duration 281 ms by bot id=7666806729
2026-03-11 16:52:28,844 | INFO | aiogram.event | Update id=732797835 is handled. Duration 219 ms by bot id=7666806729
2026-03-11 16:52:45,911 | INFO | aiogram.event | Update id=732797836 is handled. Duration 217 ms by bot id=7666806729
2026-03-11 16:52:46,705 | INFO | aiogram.event | Update id=732797837 is handled. Duration 94 ms by bot id=7666806729
2026-03-11 16:52:47,495 | INFO | apscheduler.executors.default | Running job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 16:53:47 MSK)" (scheduled at 2026-03-11 16:52:47.483850+03:00)
2026-03-11 16:52:47,495 | INFO | apscheduler.executors.default | Job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 16:53:47 MSK)" executed successfully
2026-03-11 16:52:48,766 | INFO | aiogram.event | Update id=732797838 is handled. Duration 218 ms by bot id=7666806729
2026-03-11 16:52:50,232 | INFO | aiogram.event | Update id=732797839 is handled. Duration 375 ms by bot id=7666806729
2026-03-11 16:52:54,315 | INFO | aiogram.event | Update id=732797840 is handled. Duration 297 ms by bot id=7666806729
2026-03-11 16:52:55,016 | INFO | aiogram.event | Update id=732797841 is handled. Duration 218 ms by bot id=7666806729
2026-03-11 16:52:55,996 | INFO | aiogram.event | Update id=732797842 is handled. Duration 233 ms by bot id=7666806729
2026-03-11 16:52:56,743 | INFO | aiogram.event | Update id=732797843 is handled. Duration 280 ms by bot id=7666806729
2026-03-11 16:52:57,750 | INFO | aiogram.event | Update id=732797844 is handled. Duration 483 ms by bot id=7666806729
2026-03-11 16:52:59,592 | INFO | aiogram.event | Update id=732797845 is handled. Duration 219 ms by bot id=7666806729
2026-03-11 16:53:47,496 | INFO | apscheduler.executors.default | Running job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 16:54:47 MSK)" (scheduled at 2026-03-11 16:53:47.483850+03:00)
2026-03-11 16:53:47,496 | INFO | apscheduler.executors.default | Job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 16:54:47 MSK)" executed successfully
2026-03-11 16:54:47,484 | INFO | apscheduler.executors.default | Running job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 16:55:47 MSK)" (scheduled at 2026-03-11 16:54:47.483850+03:00)
2026-03-11 16:54:47,484 | INFO | apscheduler.executors.default | Job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 16:55:47 MSK)" executed successfully
2026-03-11 16:55:47,488 | INFO | apscheduler.executors.default | Running job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 16:56:47 MSK)" (scheduled at 2026-03-11 16:55:47.483850+03:00)
2026-03-11 16:55:47,488 | INFO | apscheduler.executors.default | Job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 16:56:47 MSK)" executed successfully
2026-03-11 16:56:47,493 | INFO | apscheduler.executors.default | Running job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 16:57:47 MSK)" (scheduled at 2026-03-11 16:56:47.483850+03:00)
2026-03-11 16:56:47,493 | INFO | apscheduler.executors.default | Job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 16:57:47 MSK)" executed successfully
2026-03-11 16:57:47,484 | INFO | apscheduler.executors.default | Running job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 16:58:47 MSK)" (scheduled at 2026-03-11 16:57:47.483850+03:00)
2026-03-11 16:57:47,484 | INFO | apscheduler.executors.default | Job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 16:58:47 MSK)" executed successfully
2026-03-11 16:58:47,498 | INFO | apscheduler.executors.default | Running job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 16:59:47 MSK)" (scheduled at 2026-03-11 16:58:47.483850+03:00)
2026-03-11 16:58:47,498 | INFO | apscheduler.executors.default | Job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 16:59:47 MSK)" executed successfully
2026-03-11 16:59:47,491 | INFO | apscheduler.executors.default | Running job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 17:00:47 MSK)" (scheduled at 2026-03-11 16:59:47.483850+03:00)
2026-03-11 16:59:47,491 | INFO | apscheduler.executors.default | Job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 17:00:47 MSK)" executed successfully
2026-03-11 17:00:47,496 | INFO | apscheduler.executors.default | Running job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 17:01:47 MSK)" (scheduled at 2026-03-11 17:00:47.483850+03:00)
2026-03-11 17:00:47,496 | INFO | apscheduler.executors.default | Job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 17:01:47 MSK)" executed successfully
2026-03-11 17:01:47,500 | INFO | apscheduler.executors.default | Running job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 17:02:47 MSK)" (scheduled at 2026-03-11 17:01:47.483850+03:00)
2026-03-11 17:01:47,500 | INFO | apscheduler.executors.default | Job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 17:02:47 MSK)" executed successfully
2026-03-11 17:02:47,487 | INFO | apscheduler.executors.default | Running job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 17:03:47 MSK)" (scheduled at 2026-03-11 17:02:47.483850+03:00)
2026-03-11 17:02:47,487 | INFO | apscheduler.executors.default | Job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 17:03:47 MSK)" executed successfully
2026-03-11 17:03:47,491 | INFO | apscheduler.executors.default | Running job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 17:04:47 MSK)" (scheduled at 2026-03-11 17:03:47.483850+03:00)
2026-03-11 17:03:47,491 | INFO | apscheduler.executors.default | Job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 17:04:47 MSK)" executed successfully
2026-03-11 17:04:47,499 | INFO | apscheduler.executors.default | Running job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 17:05:47 MSK)" (scheduled at 2026-03-11 17:04:47.483850+03:00)
